,Abbr,O_EPA/play,D_EPA/play
0,ARI,0.075,-0.032
1,ATL,-0.071,0.082
2,BAL,0.011,0.061
3,BUF,0.095,-0.12
4,CAR,-0.124,-0.023
5,CHI,-0.083,0.018
6,CIN,0.043,-0.019
7,CLE,0.018,0.02
8,DAL,0.061,-0.084
9,DEN,0.029,0.008
10,DET,-0.05,0.112
11,GB,0.12,0.025
12,HOU,-0.133,0.071
13,IND,0.055,-0.006
14,JAX,-0.069,0.109
15,KC,0.157,0.036
16,LA,0.062,-0.015
17,LAC,0.087,0.036
18,LV,-0.007,0.062
19,MIA,-0.041,-0.035
20,MIN,0.022,-0.013
21,NE,0.057,-0.057
22,NO,-0.054,-0.094
23,NYG,-0.133,0.03
24,NYJ,-0.078,0.135
25,PHI,0.074,0.016
26,PIT,-0.055,-0.008
27,SEA,0.043,0.031
28,SF,0.069,0.004
29,TB,0.136,-0.078
30,TEN,0.027,-0.017
31,WAS,-0.028,0.08
